,Input_text,road_condition,traffic_condition,scenary_data,weather_codition,attractions,Difficulty_score
0,The road from thrissur to palalkd is smootha nd the traffice is less,smootha,less,0,0,0,0.625
1,the traffic from thrissur to kochi was fine and weather is good,0,fine,0,good,0,2.8125
2,"Last week, drove to/fro to attend a funeral at Ettumanoor. Route taken was Bangalore-Salem-Pollachi-Nenmara-Vadakancherry-MC Road-Ettumanoor. Took almost 11 hours including breaks. Kuthiran stretch roads were non existent.   While returning (25th- onam day), avoided Pollachi, and instead opted for the direct route. Time taken was 10 hours. Crossed Kuthiran stretch around 1630 hours, and traffic was much less compared to previous day. Sad to see the destruction and damage caused by flood/rain.",0,much less,0,0,0,0.46875
3,travel from thrissur to palakkad Kuthiran had low traffic at around 12:30 PM. Roads go from bad to worse to worst as you progress from start of tunnel section towards Pattikkad. Section between Kuthiran and Pattikkad is in its worst condition I've seen in a while.,0,low traffic at around 12:30 pm,0,0,0,2.708333333333333
4,"Took the NH47 > Alathur > Pazhayannur > Chelakara > Wadakancherry > Thrissur. After you turn off from the highway, the roads are good albeit winding and narrow.",good,0,0,albeit winding and narrow,0,0.8333333333333333
5,from Kodangallur toThrissur route is when the surface of road gets bad.,0,0,0,0,0,1.0
6,Drove from Palakkad to Kozhikode today. Took Mundur Kongad Cherpulassery Perinthalmanna route. The roads are very bad and almost non existant from Kongad to Mangalamkunnu. ,very bad and almost non existant,0,0,0,0,0.8333333333333333
7,"I had travelled from Trivandrum to Ranny (Mannamaruthy) yesterday. The MC road upto Adoor is in good shape. I faced traffic jams in Venjaramood and Kottarakara, the delay of about 15 minutes waiting for the police to clear the traffic.I had travelled from Trivandrum to Ranny (Mannamaruthy) yesterday. The MC road upto Adoor is in good shape. I faced traffic jams in Venjaramood and Kottarakara, the delay of about 15 minutes waiting for the police to clear the traffic.Roads in Ranny and upto Mannamaruthy are in general ok with some potholed sections.",ok,0,0,0,0,1.25
8, I did the Palakkad - Ottapalam - Kulappully - Thrissur stretch earlier this week and in spite of the monsoon rain it was a superb drive. Excellent road and the celebrated green of Valluvanad in all its glory. I was told the NH between Thrissur and Palakkad remains in a rotten state.,Excellent road,0,0,0,0,1.25
9,"the road via Muvattupuzha, Thodupuzha, Kanhar, right? Those are the best roads in the state as of now. That crazy climb up Moolamattom to Naadukaani is just amazing. Then, carry on forward till Cheruthoni, Idukki and Ramakkalmedu to attain complete Nirwana. Something to be experienced atleast once in a lifetime.",best,0,0,0,0,0.0
10,There are unlimited attractions all the way from Cochin. The best being the Wild elephants and other animals near/before Painavu. The best is to take a powerful rear wheel drive one. Makes up for a perfect Weekend drive from here.,0,0,0,0,wild elephants and other animals near / before painavu .,1.0416666666666667
11,Perinthalmanna till Pulamanthole is silky smooth and wider now with a relaid road. Pulamanthole >Pattambi > Perumbilavu is patched and some portions are relaid(manual) so good enuf to cruise at 50-60 kmph. The bridge at Palakkad-Thrissur district border (near Chalissery) is reconstructed and so a 75m wayside diversion is present which is very uneven and vehicles with low GC better watchout. Perumbilavu till Guruvayoor thru Kunnamkulam is as before with no issues,0,0,0,0,0,0.0
12,"from cochin to Bangalore Traffic towards Blore was low but had huge number of trucks. Passed TCR toll at around 4.30am and the queue towards Cochin was long even during the wee hours.  Kuthiran is all good except for the slow traffic.Coimbatore bypass is a joke. Easily lost good time here. Like excepted, traffic towards Kerala was huge. Scanning the code each time takes a lot of time.",0,huge,0,0,0,0.1875
